comunidad_nombre,pueblo,situacion_inscripcion,municipio_nombre,municipio_id,localidad,familias_cantidad,miembros_cantidad,longitud,latitud
Comunidad Multietnica Mujeres Indígenas de la Chakana,Multiétnica,Sin inscripción,Lanús,06434,Lanús este,30,120,-58.35633,-34.70719
Comunidad Multietnica de Asuntos Indígenas / Comunidad Multiétnica Partido de La Costa,Multiétnica,Sin inscripción,General Pueyrredón,06357,Mar del Plata,15,60,-57.63526,-37.98215
Comunidad Pluricultural,Multiétnica,Sin inscripción,Almirante Brown,06028,Longchamps,20,80,-58.38996,-34.85347
Comunidad Coyitas (Comedor comunitario),Kolla,Sin inscripción,Moreno,06560,Trujuy,13,50,-58.771939,-34.580925
Comunidad Sumaj Kawsay / Comunidad Mujeres Indígenas del Sumaj Kawsay / Comedor Coyitas,Kolla,Sin inscripción,Moreno,06560,Trujuy,,,-58.771939,-34.580925
Comunidad Mapuche Sierra de la Ventana y Sandulgaray (integrantes de la Lof Kuripan Kayuman),Mapuche,Sin inscripción,Tornquist,06819,Tornquist,,,-62.223932,-38.109921
"Comunidad ""Pluke Meu Pichique Che"" (Corazón de Niño) / Comunidad Cacique Pincen 2",Mapuche,Sin inscripción,La Plata,06441,La Plata,,,-57.921592,-34.951655
Comunidad Tehuelche Clan Cabral,Günün a küna ó Tehuelche,Sin inscripción,La Matanza,06427,Ciudad Evita,1,8,-58.551946,-34.709221
Comunidad Tacuabe,Charrúa,Sin inscripción,Pilar,06638,Pilar,,,-58.915613,-34.470151
Comunidad Tupí Nambá Mainumby (colibrí),Guaraní (gran nación),Sin inscripción,Merlo,06539,Merlo,,,-58.72839,-34.669229
Inan Leufu Mongeiñ,Mapuche,Sin inscripción,Patagones,06602,Carmen de Patagones,,,-62.989272,-40.794394
Comunidad Che Añamangüera,Guaraní (gran nación),Archivada INAI-RENACI,La Matanza,06427,Rafael Castillo,7,48,-58.611323,-34.696832
Comunidad Mandua,Guaraní (gran nación),Archivada INAI-RENACI,La Matanza,06427,Rafael Castillo,5,38,-58.607104,-34.695171
